Audit D,,,,,,,,,,,,,,,,,
experiment 1,,,,,,,average,,,,,,,,,,
extraction,574,,,,,,,,,,,,,,,,
parsing,47,,,,,,,,,,,,,,,,
compression,44,,,,,,,,,,,,,,,,
uploading,2,,,,,,,,,,,,,,,,
query execution,759,,,,,,,,,,,,,,,,
Total,1434,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
exim,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
experiment 1,,,,,,,average,,,,,,,,,,
,1000,3000,5000,7000,,,,500,1000,3000,5000,,,500,1000,3000,5000
reading,17,20,18,22,,,reading,16.2,16.6,17.6,22.6,,reading,1.08,0.44,0.28,0.27
extraction,659,1722,2900,4002,,,extraction,630,1712.6,2884.6,4075.2,,extraction,42.19,45.66,46.56,48.99
parsing,90,278,458,686,,,parsing,90.2,280,530.4,717.6,,parsing,6.04,7.46,8.56,8.63
compression,46,128,232,286,,,compression,45.6,124.4,219,294.8,,compression,3.05,3.32,3.53,3.54
uploading,2,2,2,2,,,uploading,1.8,1.8,1.8,2,,uploading,0.12,0.05,0.03,0.02
query execution,708,1596,2590,3239,,,query execution,709.4,1615.6,2542,3206.8,,query execution,47.51,43.07,41.03,38.55
Total,1522,3746,6200,8237,,,Total,1493.2,3751,6195.4,8319,,Total,100,100,100,100
,,,,,,,,,,,,,,,,,
experiment 2,,,,,,,,,,,,,,,,,
,1000,3000,5000,7000,,,,,,,,,,,,,
reading,17,19,18,29,,,,,,,,,,,,,
extraction,617,1750,2868,4223,,,,,,,,,,,,,
parsing,89,295,512,745,,,,,,,,,,,,,
compression,46,124,211,286,,,,,,,,,,,,,
uploading,1,2,2,2,,,,,,,,,,,,,
query execution,686,1664,2554,3245,,,,,,,,,,,,,
Total,1456,3854,6165,8530,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
experiment 3,,,,,,,,,,,,,,,,,
,1000,3000,5000,7000,,,,,,,,,,,,,
reading,18,19,14,24,,,,,,,,,,,,,
extraction,629,1687,2806,3998,,,,,,,,,,,,,
parsing,90,283,631,631,,,,,,,,,,,,,
compression,45,124,220,329,,,,,,,,,,,,,
uploading,2,1,2,2,,,,,,,,,,,,,
query execution,709,1608,2519,3112,,,,,,,,,,,,,
Total,1493,3722,6192,8096,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
experiment4,,,,,,,,,,,,,,,,,
,1000,3000,5000,7000,,,,,,,,,,,,,
reading,18,11,18,14,,,,,,,,,,,,,
extraction,629,1699,2871,4012,,,,,,,,,,,,,
parsing,90,271,523,819,,,,,,,,,,,,,
compression,45,125,212,287,,,,,,,,,,,,,
uploading,2,2,2,2,,,,,,,,,,,,,
query execution,709,1559,2608,3243,,,,,,,,,,,,,
Total,1493,3667,6234,8377,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
experiment5,,,,,,,,,,,,,,,,,
,1000,3000,5000,7000,,,,,,,,,,,,,
reading,11,14,20,24,,,,,,,,,,,,,
extraction,616,1705,2978,4141,,,,,,,,,,,,,
parsing,92,273,528,707,,,,,,,,,,,,,
compression,46,121,220,286,,,,,,,,,,,,,
uploading,2,2,1,2,,,,,,,,,,,,,
query execution,735,1651,2439,3195,,,,,,,,,,,,,
Total,1502,3766,6186,8355,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
syslog,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
experiment 1,,,,,,,average,,,,,,,,,,
,1000,3000,5000,7000,,,,500,1000,3000,5000,,,500,1000,3000,5000
reading,14,17,24,21,,,reading,16.2,13.6,21.6,18.6,,reading,1.3,0.38,0.37,0.23
extraction,536,1637,2785,3882,,,extraction,580.4,1641.8,2726.8,3911,,extraction,46.53,45.76,46.41,48.69
parsing,56,128,281,345,,,parsing,50.4,120.4,261,333.2,,parsing,4.04,3.36,4.44,4.15
compression,38,115,282,309,,,compression,40.4,117,225.2,294.4,,compression,3.24,3.26,3.83,3.67
uploading,2,2,2,3,,,uploading,1.6,2.2,1.6,2.2,,uploading,0.13,0.06,0.03,0.03
query execution,719,1729,2682,3462,,,query execution,558.4,1693.2,2639,3472.8,,query execution,44.77,47.19,44.92,43.24
Total,1365,3628,6056,8022,,,Total,1247.4,3588.2,5875.2,8032.2,,Total,100,100,100,100
,,,,,,,,,,,,,,,,,
experiment 2,,,,,,,,,,,,,,,,,
,1000,3000,5000,7000,,,,,,,,,,,,,
reading,17,2,28,18,,,,,,,,,,,,,
extraction,575,1602,2736,3980,,,,,,,,,,,,,
parsing,41,158,268,362,,,,,,,,,,,,,
compression,39,128,236,274,,,,,,,,,,,,,
uploading,1,2,1,2,,,,,,,,,,,,,
query execution,671,1736,2552,3604,,,,,,,,,,,,,
Total,1344,3628,5821,8240,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
experiment 3,,,,,,,,,,,,,,,,,
,1000,3000,5000,7000,,,,,,,,,,,,,
reading,16,24,22,22,,,,,,,,,,,,,
extraction,591,1773,2658,3887,,,,,,,,,,,,,
parsing,55,37,239,350,,,,,,,,,,,,,
compression,42,115,218,274,,,,,,,,,,,,,
uploading,2,3,2,2,,,,,,,,,,,,,
query execution,702,1748,2602,3453,,,,,,,,,,,,,
Total,1408,3700,5741,7988,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
experiment4,,,,,,,,,,,,,,,,,
,1000,3000,5000,7000,,,,,,,,,,,,,
reading,16,14,14,21,,,,,,,,,,,,,
extraction,560,1570,2750,3886,,,,,,,,,,,,,
parsing,42,155,261,305,,,,,,,,,,,,,
compression,40,113,195,323,,,,,,,,,,,,,
uploading,2,2,2,2,,,,,,,,,,,,,
query execution,700,1601,2732,3445,,,,,,,,,,,,,
Total,1360,3455,5954,7982,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
experiment5,,,,,,,,,,,,,,,,,
,1000,3000,5000,7000,,,,,,,,,,,,,
reading,18,11,20,11,,,,,,,,,,,,,
extraction,640,1627,2705,3920,,,,,,,,,,,,,
parsing,58,124,256,304,,,,,,,,,,,,,
compression,43,114,195,292,,,,,,,,,,,,,
uploading,1,2,1,2,,,,,,,,,,,,,
query execution,,1652,2627,3400,,,,,,,,,,,,,
Total,760,3530,5804,7929,,,,,,,,,,,,,
